ABN MMS ID,Network Id,ABN035,Aleph ID,Network Number
990007559010108281,991125515359705501,(ABN)000755901ABN01,000755901-ABN01,(CH-ZuSLS)991125515359705501; (IDSBB)002755039DSV01; (IDSLU)000285123ILU01; (NEBIS)004550602EBI01; 21938598X; (swissbib)21938598X-41slsp_network
990003907140108281,991142488989705501,(ABN)000390714ABN01,000390714-ABN01,(CH-ZuSLS)991142488989705501; (RERO)R007867779-41slsp; (NEBIS)005133728EBI01; (IDSBB)000615534DSV01; (IDSLU)000799725ILU01; 215638891; (swissbib)215638891-41slsp_network
990000720790108281,991046056669705501,(ABN)000072079ABN01,000072079-ABN01,(CH-ZuSLS)991046056669705501; (OCoLC)246287108; (IDSBB)007053937DSV01; 072253886; (swissbib)072253886-41slsp_network
990000694460108281,991118549359705501,(ABN)000069446ABN01,000069446-ABN01,(CH-ZuSLS)991118549359705501; (NEBIS)001530187EBI01; (IDSBB)001066159DSV01; (IDSLU)000090307ILU01; 231400136; (swissbib)231400136-41slsp_network
990007799020108281,991089981789705501,(ABN)000779902ABN01,000779902-ABN01,(CH-ZuSLS)991089981789705501; (IDSBB)006389931DSV01; 070764611; (swissbib)070764611-41slsp_network
990008082450108281,991127283639705501,(ABN)000808245ABN01,000808245-ABN01,(CH-ZuSLS)991127283639705501; (OCoLC)964674819; (DE-599)DNB1120032369; (RERO)R008633167-41slsp; (IDSBB)006687047DSV01; (IDSLU)001274573ILU01; (NEBIS)010888368EBI01; 237361205; (swissbib)237361205-41slsp_network
990002573650108281,991148998369705501,(ABN)000257365ABN01,000257365-ABN01,(CH-ZuSLS)991148998369705501; (IDSBB)001508087DSV01; (IDSLU)000110039ILU01; (NEBIS)001900272EBI01; (RERO)R230254660-41slsp; 231112750; (swissbib)231112750-41slsp_network
990000706390108281,991018334229705501,(ABN)000070639ABN01,000070639-ABN01,(CH-ZuSLS)991018334229705501; (IDSLU)000322171ILU01; (IDSBB)000199942DSV01; (NEBIS)009069131EBI01; (RERO)2104223-41slsp; 22950325X; (swissbib)22950325X-41slsp_network
990008497830108281,991104097039705501,(ABN)000849783ABN01,000849783-ABN01,(CH-ZuSLS)991104097039705501; (OCoLC)1089410632; (RERO)R008894655-41slsp; (IDSSG)001032521HSB01; (NEBIS)011384838EBI01; (IDSLU)001354063ILU01; (IDSBB)007064490DSV01; 241840430; (swissbib)241840430-41slsp_network
990007265810108281,991008436799705501,(ABN)000726581ABN01,000726581-ABN01,(CH-ZuSLS)991008436799705501; (OCoLC)857738208; (DE-599)DNB1033322822; (NEBIS)009990920EBI01; (IDSBB)006147962DSV01; 215077369; (swissbib)215077369-41slsp_network
